Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
 Welspun Corp Ltd.,Steel products,930.4,1.04%,1.22% (Jun 2022),0.72% (Oct 2021)
 Lumax Auto Technologies Ltd.,Auto ancillaries,921.3,1.03%,1.03% (Aug 2022),0.48% (Oct 2021)
 KNR Constructions,Construction civil,920.3,1.02%,1.35% (Feb 2022),1% (Oct 2021)
 Amrutanjan Health Care Ltd.,Pharmaceuticals,856.4,0.95%,1.3% (Oct 2021),0.95% (Aug 2022)
 Aarti Drugs Ltd.,Pharmaceuticals,854.3,0.95%,1.04% (Feb 2022),0.6% (Sep 2021)
 Vedant Fashions Ltd.,Speciality retail,836,0.93%,0.93% (Aug 2022),0% (Sep 2021)
 Subros Ltd.,Auto ancillaries,790,0.88%,1.04% (Oct 2021),0.87% (May 2022)
 Thangamayil Jewellery Ltd.,Gems, jewellery and watches,768.5,0.04%,0.91% (Feb 2022)
# Rolex Rings Private Ltd.,Auto ancillaries,709.3,0.79%,0.79% (Aug 2022),0% (Sep 2021)
 V-Mart Retail Ltd.,Retailing,704.6,0.78%,1.19% (Oct 2021),0.75% (Jun 2022)
 Dwarikesh Sugar Industries Ltd.,Sugar,595,0.66%,0.89% (Mar 2022),0.58% (Nov 2021)
 Prince Pipes and Fittings Ltd.,Plastic products,576,0.64%,0.64% (Aug 2022),0% (Sep 2021)
 Zensar Technologies Ltd.,Computers - software,557.4,0.62%,1.48% (Dec 2021),0.62% (Aug 2022)
 Finolex Cables Ltd.,Cables - electricals,551.5,0.61%,1.81% (Nov 2021),0.59% (May 2022)
#NAME?,Other financial services,540.7,0.60%,0.68% (Jun 2022),0% (Sep 2021)
 Sandhar Technologies Ltd.,Auto ancillaries,507.5,0.56%,0.72% (Jun 2022),0.5% (Feb 2022)
 Prudent Corporate Advisory Services Ltd.,Stockbroking and allied,462.4,0.51%,0.53% (May 2022),0% (Sep 2021)
 Himatsingka Seide Ltd.,Fabrics and garments,444.1,0.49%,0.95% (Sep 2021),0.49% (Aug 2022)
# Heritage Foods (india) Ltd.,Consumer food,440.7,0.49%,0.49% (Aug 2022),0% (Sep 2021)
 Safari Industries (India) Ltd.,Plastic products,437.1,0.49%,0.49% (Aug 2022),0% (Sep 2021)
 Graphite India Ltd.,Electrodes,436,0.49%,0.63% (Apr 2022),0% (Sep 2021)
 Amber Enterprises India Ltd.,Air conditioner,433,0.48%,0.82% (Feb 2022),0.48% (Aug 2022)
 Just Dial Ltd.,It enabled services – software,344.3,0.38%,0.6% (Jan 2022),0.36% (Oct 2021)
 Repco Home Finance Ltd.,Housing finance,328.4,0.37%,0.62% (Sep 2021),0.22% (Jun 2022)
 Dodla Dairy Ltd.,Dairy products,313.9,0.35%,0.44% (Sep 2021),0.32% (Feb 2022)
 Campus Activewear Ltd.,Footwear,249.2,0.28%,0.28% (Aug 2022),0% (Sep 2021)
 Rainbow Childrens Medicare Ltd.,Hospital,225.4,0.25%,0.25% (Aug 2022),0% (Sep 2021)
 TCPL Packaging Ltd.,Packaging,217.9,0.24%,0.24% (Aug 2022),0% (Sep 2021)
 Muthoot Capital Services Ltd.,Nbfc,180.6,0.20%,0.48% (Oct 2021),0.19% (Jul 2022)
 Equitas Small Finance Bank Ltd.,Banks,17.7,0.02%,0.67% (Oct 2021),0.02% (Aug 2022)
 Elgi Equipments Ltd.,Compressors / pumps,6727.2,4.79%,4.79% (Aug 2022),3.02% (Oct 2021)
 Vedant Fashions Ltd.,Speciality retail,5832.4,4.15%,4.15% (Aug 2022),0% (Sep 2021)
 Sheela Foam Ltd.,Houseware,4681.4,3.33%,4.9% (Feb 2022),3.05% (Sep 2021)
 Blue Star Ltd.,Air conditioner,4626.3,3.29%,3.9% (Feb 2022),3.06% (Jan 2022)
 Fine Organic Industries Ltd.,Chemicals - speciality,4327.1,3.08%,3.32% (Jul 2022),2.38% (Sep 2021)
 Rajratan Global Wire Ltd.,Steel products,4235.9,3.02%,3.02% (Aug 2022),1.34% (Dec 2021)
 Carborundum Universal Ltd.,Abrasives,4168.5,2.97%,4.43% (Sep 2021),2.97% (Aug 2022)
 V-Guard Industries Ltd.,Industrial electronics,3861.6,2.75%,3.31% (May 2022),2.22% (Apr 2022)
 Timken India Ltd.,Bearings,3576.3,2.55%,2.75% (Jul 2022),1.94% (Apr 2022)
